,statistic.Dickey-Fuller,parameter.Lag order,alternative,p.value,method,data.name
unlist.adf..i...,-11.55500537,12,stationary,0.01,Augmented Dickey-Fuller Test,"newX[, i]"
unlist.adf..i...1,-10.52549024,12,stationary,0.01,Augmented Dickey-Fuller Test,"newX[, i]"
unlist.adf..i...2,-12.57884681,12,stationary,0.01,Augmented Dickey-Fuller Test,"newX[, i]"
unlist.adf..i...3,-12.14176571,12,stationary,0.01,Augmented Dickey-Fuller Test,"newX[, i]"
unlist.adf..i...4,-11.88140605,12,stationary,0.01,Augmented Dickey-Fuller Test,"newX[, i]"
unlist.adf..i...5,-11.59148635,12,stationary,0.01,Augmented Dickey-Fuller Test,"newX[, i]"
unlist.adf..i...6,-11.47991982,12,stationary,0.01,Augmented Dickey-Fuller Test,"newX[, i]"
unlist.adf..i...7,-12.56162198,12,stationary,0.01,Augmented Dickey-Fuller Test,"newX[, i]"
unlist.adf..i...8,-12.06322953,12,stationary,0.01,Augmented Dickey-Fuller Test,"newX[, i]"
unlist.adf..i...9,-11.84122039,12,stationary,0.01,Augmented Dickey-Fuller Test,"newX[, i]"
unlist.adf..i...10,-11.996174,12,stationary,0.01,Augmented Dickey-Fuller Test,"newX[, i]"
unlist.adf..i...11,-12.96327709,12,stationary,0.01,Augmented Dickey-Fuller Test,"newX[, i]"
unlist.adf..i...12,-11.90418381,12,stationary,0.01,Augmented Dickey-Fuller Test,"newX[, i]"
unlist.adf..i...13,-11.74416482,12,stationary,0.01,Augmented Dickey-Fuller Test,"newX[, i]"
unlist.adf..i...14,-11.93284219,12,stationary,0.01,Augmented Dickey-Fuller Test,"newX[, i]"
unlist.adf..i...15,-14.49962989,12,stationary,0.01,Augmented Dickey-Fuller Test,"newX[, i]"
unlist.adf..i...16,-11.87357124,12,stationary,0.01,Augmented Dickey-Fuller Test,"newX[, i]"
unlist.adf..i...17,-11.50723602,12,stationary,0.01,Augmented Dickey-Fuller Test,"newX[, i]"
unlist.adf..i...18,-11.74188482,12,stationary,0.01,Augmented Dickey-Fuller Test,"newX[, i]"
unlist.adf..i...19,-11.83177997,12,stationary,0.01,Augmented Dickey-Fuller Test,"newX[, i]"
unlist.adf..i...20,-11.95673127,12,stationary,0.01,Augmented Dickey-Fuller Test,"newX[, i]"
unlist.adf..i...21,-11.54068055,12,stationary,0.01,Augmented Dickey-Fuller Test,"newX[, i]"
unlist.adf..i...22,-12.09692974,12,stationary,0.01,Augmented Dickey-Fuller Test,"newX[, i]"
unlist.adf..i...23,-11.70566951,12,stationary,0.01,Augmented Dickey-Fuller Test,"newX[, i]"
